"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,CASES per Test, Death in Closed Cases ,Rank by Testing rate,Rank by Death rate,Rank by Cases rate,Rank by Death of Closed Cases
Myanmar,399,5,6,,333,60,,7,0,141044,2590,54460318, 0.0177 ,179,189,213,147
Faeroe Islands,383,1,0,,274,109,3,7834,,80312,1642742,48889,,2,,31,
Papua New Guinea,361,14,4,1,198,159,,40,0,14439,1610,8969502, 0.0198 ,187,184,203,141
Sint Maarten,348,15,17,,133,198,3,8104,396,1983,46179,42942, 0.1133 ,92,15,29,18
Mauritius,346,,10,,334,2,,272,8,205285,161379,1272065, 0.0291 ,32,141,169,109
Isle of Man,336,,24,,312,0,,3948,282,9423,110734,85096, 0.0714 ,47,21,60,35
Martinique,336,,16,,98,222,2,895,43,12227,32586,375224, 0.1404 ,112,85,127,15
Turks and Caicos,327,12,2,,56,269,3,8430,52,1940,50015,38788, 0.0345 ,88,77,27,89
Eritrea,306,2,0,,274,32,,86,,,,3553053,,,,193,
Mongolia,298,,0,,281,17,1,91,,46332,14103,3285365,,139,,192,
Cambodia,273,,0,,253,20,1,16,,83626,4993,16750228,,172,,210,
Gibraltar,229,6,0,,200,29,,6797,,28366,841971,33690,,5,,35,
French Polynesia,211,,0,,68,143,2,751,,9912,35257,281134,,106,,131,
Cayman Islands,205,,1,,202,2,,3114,15,33978,516171,65827, 0.0049 ,11,125,78,187
Bermuda,166,,9,,147,10,,2667,145,36203,581621,62245, 0.0577 ,9,39,85,48
Barbados,156,1,7,,123,26,,543,24,15028,52285,287425, 0.0538 ,85,104,146,55
Monaco,150,2,4,,115,31,1,3819,102,51953,1322632,39280, 0.0336 ,3,53,62,90
Bhutan,150,3,0,,105,45,,194,,66835,86488,772767,,57,,182,
Brunei,143,,3,,139,1,,326,7,49399,112769,438054, 0.0211 ,46,146,161,139
Seychelles,132,,0,,126,6,,1341,,,,98431,,,,107,
Saint Martin,121,,5,,49,67,1,3122,129,2449,63193,38754, 0.0926 ,76,44,77,27
Liechtenstein,99,1,1,,88,10,,2595,26,900,23595,38143, 0.0112 ,124,101,87,165
Antigua and Barbuda,94,,3,,89,2,1,959,31,1738,17727,98041, 0.0326 ,132,97,122,93
St. Vincent Grenadines,58,,0,,56,2,,523,,3033,27327,110989,,117,,148,
Macao,46,,0,,46,0,,71,,4071,6258,650532,,167,,195,
Curacao,36,,1,,31,4,,219,6,1080,6578,164187, 0.0313 ,165,148,176,99
Fiji,28,,1,,20,7,,31,1,6693,7459,897343, 0.0476 ,160,177,206,63
Saint Lucia,26,,0,,25,1,,142,,4946,26918,183744,,119,,186,
Timor-Leste,25,,0,,25,0,,19,,4238,3206,1321774,,177,,208,
Grenada,24,,0,,24,0,,213,,6252,55526,112596,,84,,178,
New Caledonia,23,,0,,22,1,,80,,11838,41410,285874,,99,,194,
Laos,22,,0,,19,3,,3,,35428,4860,7289790,,173,,214,
Dominica,18,,0,,18,0,,250,,1646,22858,72011,,126,,171,
Saint Kitts and Nevis,17,,0,,17,0,,319,,1385,26009,53251,,120,,162,
St. Barth,16,,0,,9,7,,1619,,1699,171946,9881,,28,,98,
Greenland,14,,0,,14,0,,247,,6446,113518,56784,,45,,172,
Montserrat,13,,1,,12,0,,2604,200,61,12220,4992, 0.0769 ,145,31,86,32
Caribbean Netherlands,13,,0,,7,6,,495,,424,16149,26256,,136,,151,
Falkland Islands,13,,0,,13,0,,3722,,2256,645863,3493,,6,,65,
Vatican City,12,,0,,12,0,,14981,,,,801,,,,12,
British Virgin Islands,11,,1,,8,2,,364,33,1890,62461,30259, 0.1111 ,78,94,158,21
Western Sahara,10,,1,,8,1,,17,2,,,599245, 0.1111 ,,176,209,21
MS Zaandam,9,,2,,0,7,,,,,,, 1.0000 ,,,,1
Saint Pierre Miquelon,5,,0,,1,4,,864,,,,5790,,,,128,
Anguilla,3,,0,,3,0,,200,,662,44072,15021,,97,,181,
